nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDS DCB Palad,Jl. Bekasi Timur IV No. 15,Jatinegara,Padat/Kumuh
SDS Damai,Jl. Kelapa Dua No. 7,Cilincing,Padat/Kumuh
SDS Darusalam,Jl. Kalibaru Barat RT005/RW010 No. 2,Cilincing,Padat/Kumuh
SDS Daya Putra,Jl. Bahari V No. 56-57,Tanjung Priok,Padat/Kumuh
SDS Dewi Sartika,Jl. Manunggal VII No. 18,Cilincing,Padat/Kumuh
SDS Dian Harapan,Jl. Muara Baru Raya No. 5-7,Penjaringan,Padat/Kumuh
SDS Diniyah Aisiyah,Jl. Menteng Bata No. 37,Setia Budi,Padat/Kumuh
SDS Diniyah Islamiyah,Jl. Warakas I Gg. V No. 2,Tanjung Priok,Padat/Kumuh
SDS Dua Harapan,Jl. Tipar Timur,Cilincing,Padat/Kumuh
SDS Esti Bakti,Jl. Kapuk Raya Gg. Taniwan,Cengkareng,Padat/Kumuh
SDS Fadhilah,Jl. Tungai Tiram,Cilincing,Padat/Kumuh
SDS Galatia 1,Jl. Seni Budaya VI No. 4,Grogol Petamburan,Padat/Kumuh
SDS Gamaliel,Jl. Jembatan Besi II No. 45,Tambora,Padat/Kumuh
SDS Garuda,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDS Harapan,Jl. KS. Tubun I/3,Palmerah,Padat/Kumuh
SDS Islam Al-Huriyyah,Jl. Kebon Jahe No. 65,Cengkareng,Padat/Kumuh
SDS Islam Assa'adah,Jl. Tanjung Lengkong No. 21,Jatinegara,Padat/Kumuh
SDS Islam Bahagia,Jl. Kali Anyar Raya No. 18,Tambora,Padat/Kumuh
SDS Islam Terpadu Yasiru,Jl. Pahlawan 3 No. 46,Kebon Jeruk,Padat/Kumuh
SDS Kalam Kudus,Jl. Tangki Lio Timur No. 48-49,Taman Sari,Padat/Kumuh
SDS Kali Baru,Jl. Kali Anyar V No. 18,Tambora,Padat/Kumuh
SDS Kampung Sawah,Jl. Raya Cakung Cilincing,Cilincing,Padat/Kumuh
SDS Kasih Imanuel,Jl. Kampung Sawah,Cilincing,Padat/Kumuh
SDS Kemuliaan Bunda,Jl. Terate Raya No. 43,Tambora,Padat/Kumuh
SDS Kristen Nazarene,Jl. Karang Ayar Utara No. 4,Sawah Besar,Padat/Kumuh
SDS Lagoa (YPUL),Jl. Lagoa Gg. III,K o j a,Padat/Kumuh
SDS Lembaga Putra Kita,Jl. Sukabumi III No. 2,Menteng,Padat/Kumuh
SDS Merdekasari,Jl. Kapuk Kebun Jahe,Cengkareng,Padat/Kumuh
SDS Muhamadiyah 18,Jl. Kalibaru Barat,Cilincing,Padat/Kumuh
SDS Muhammadiyah 16,Jl. Bukit Duri Tanjakan No. 10,T e b e t,Padat/Kumuh
SDS Muhammadiyah 21,Jl. Gunung Sahari XI No. 19,Sawah Besar,Padat/Kumuh
SDS Muhammadiyah 26,"Tanah Sereal X No. 8, Nusa Damai IV",Tambora,Padat/Kumuh
SDS Muslimin,Jl. Kramat Raya No. 11,S e n e n,Padat/Kumuh
SDS Mustika,Jl. Bekasi Timur Km. 15,Pulo Gadung,Padat/Kumuh
SDS Nirwana,Jl. Jati Bundar VII No. 181,Tanah Abang,Padat/Kumuh
SDS Nurul Farhah,"Jl. Raya Logistik, Kp. Batu Tumbuh",K o j a,Padat/Kumuh
SDS Nurul Yaqin,Jl. Budi Mulia No. 60,Pademangan,Padat/Kumuh
SDS Nurul Yaqin,Jl. Bekasi Timur IV Dalam,Jatinegara,Padat/Kumuh
SDS P U I,Jl. Galur Jaya No. 16,Johar Baru,Padat/Kumuh
SDS Panca Bhakti,Jl. Kerja Bakti No. 30,Makasar,Padat/Kumuh
SDS Pelita,Jl. Pos Duri Raya No. 23/29,Tambora,Padat/Kumuh
SDS Pelita Abadi,Jl. Kapuk Raya,Cengkareng,Padat/Kumuh
SDS Permata Indah,"TPI 2, Jl. Kp. Gusti TPI Blok A No. 1",Penjaringan,Padat/Kumuh
SDS Remaja,Jl. Budi Jaya I,Tanjung Priok,Padat/Kumuh
SDS Sari Putra,Jl. Pada Mulya III No. 35,Tambora,Padat/Kumuh
SDS Setia Bhakti,"Jl. A Gg. I No. 4-5, Karang Anyar",Sawah Besar,Padat/Kumuh
SDS Sinar Solor,Jl. Muara Bahari,Tanjung Priok,Padat/Kumuh
SDS Suka Mulia,Jl. Suka Mulia VII RT005/RW01,Kemayoran,Padat/Kumuh
SDS Taman Islam,Jl. Kp. Duri Gg. Q2,Tambora,Padat/Kumuh
SDS Taman Pusaka,Jl. Gembira II No. 55,Tanjung Priok,Padat/Kumuh
SDS Taman Siswa,Jl. Matraman Dalam II No. 13,Menteng,Padat/Kumuh
SDS Taruna Bangsa,"PIK Kopti, Jl. Windu Gutomo Blok IV No. 2",Kalideres,Padat/Kumuh
SDS Teladan YKPI Pg.,Jl. Angke Jaya No. 10,Tambora,Padat/Kumuh
SDS Teladan YKPI Pt.,Jl. Angke Jaya No. 10,Tambora,Padat/Kumuh
SDS Tridarma Budhidaya,Jl. Bidara No. 36,Penjaringan,Padat/Kumuh
SDS Wawasan Nusantara,Jl. Kapuk Pulo Indah No. 8,Cengkareng,Padat/Kumuh
SDS Widuri Indah III,Jl. Tamansari Raya No. 75C-G,Taman Sari,Padat/Kumuh
SDS YPBK,Jl. Kb. Jeruk Timur,Jatinegara,Padat/Kumuh
SDS YWKA I,Jl. Menara Air,T e b e t,Padat/Kumuh
SDS Yappenda,Jl. Swasembada Timur VI No. 15,Tanjung Priok,Padat/Kumuh
SDS Yaspi,Komp. Kebersihan DKI,Cilincing,Padat/Kumuh
