nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Duri Pulo 04 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
SDN Duri Pulo 05 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
SDN Duri Pulo 10 Pg.,Jl. Setiakawan III No. 25,Gambir,Padat/Kumuh
SDN Duri Utara 01 Pg.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Duri Utara 02 Pt.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Duri Utara 03 Pg.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Duri Utara 04 Pt.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Duri Utara 05 Pg.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Duri Utara 06 Pt.,Jl. Duri Utara I No. 1,Tambora,Padat/Kumuh
SDN Galur 01 Pg.,Jl. Kampung Rawa Tengah,Johar Baru,Padat/Kumuh
SDN Galur 03 Pg.,Jl. Kampung Rawa Tengah,Johar Baru,Padat/Kumuh
SDN Grogol 01 Pg.,Jl. Dr. Semeru Raya VII Blok J,Grogol Petamburan,Padat/Kumuh
SDN Grogol 03 Pg.,Jl. Dr. Semeru Raya Gg. VII Blok J No. 1,Grogol Petamburan,Padat/Kumuh
SDN Grogol 07 Pg.,Jl. Dr. Semeru Raya No. 1,Grogol Petamburan,Padat/Kumuh
SDN Grogol 11 Pg.,Jl. Rawa Bahagia I No. 30,Grogol Petamburan,Padat/Kumuh
SDN Grogol Selatan 15 Pt.,"Jl. Panjang, Cidodol",Kebayoran Lama,Padat/Kumuh
SDN Grogol Selatan 16 Pt.,"Jl. Panjang, Cidodol",Kebayoran Lama,Padat/Kumuh
SDN Grogol Selatan 17 Pg.,Jl. Mesjid Cidodol,Kebayoran Lama,Padat/Kumuh
SDN Grogol Utara 02 Pt.,Jl. Patal Senayan No. 49,Kebayoran Lama,Padat/Kumuh
SDN Grogol Utara 13 Pg.,Jl. Kemandoran VIII,Kebayoran Lama,Padat/Kumuh
SDN Grogol Utara 16 Pg.,Jl. Kemandoran I No. 65,Kebayoran Lama,Padat/Kumuh
SDN Harapan Mulia 02 Pt.,Jl. Cempaka Wangi I,Kemayoran,Padat/Kumuh
SDN Harapan Mulia 03 Pg.,Jl. Tembaga Dalam II,Kemayoran,Padat/Kumuh
SDN Harapan Mulia 04 Pt.,Jl. Tembaga Dalam II,Kemayoran,Padat/Kumuh
SDN Jagakarsa 13 Pg.,Jl. Kebagusan Wates,Jagakarsa,Padat/Kumuh
SDN Jati 08 Pg.,Jl. Layur Selatan No. 19,Pulo Gadung,Padat/Kumuh
