nama_sekolah,alamat,akreditasi
SDN Cibubur 01 Pg.,Jl. Masjid Fathul Gofur,A
SDN Cibubur 02 Pg.,Jl. Masjid Fathul Gofur RT002/RW04,A
SDN Cibubur 03 Pg.,Jl. Cibubur I,A
SDN Cibubur 04 Pg.,Jl. Cibubur I,A
SDN Cibubur 05 Pg.,Jl. Taruna Jaya Cibubur,A
SDN Cibubur 06 Pt.,Jl. Cibubur I,A
SDN Cibubur 09 Pg.,Jl. Bulak Ringin,A
SDN Cibubur 10 Pg.,Jl. Bulak Ringin No. 1A RT06/RW03,A
SDN Cibubur 11 Pg.,Jl. Cibubur I,A
SDN Cibubur 12 Pt.,Jl. Bulak Ringin,A
SDN Cibubur 13 Pt.,Jl. Bulak Ringin,A
SDN Cideng 02 Pg.,Jl. Lematang No. 2,A
SDN Cideng 06 Pt.,Jl. Cimalaya No. 1,A
SDN Cideng 13 Pg.,Jl. Cilamaya No. 1,A
SDN Ciganjur 02 Pg.,Jl. Warung Sila RT005/RW04,A
SDN Ciganjur 04 Pg.,Jl. H. Montong No. 53,A
SDN Ciganjur 05 Pg.,Jl. H. Montong No. 53 RT005/RW02,A
SDN Cijantung 02 Pg.,Jl. Pertengahan Gg. Kramat I,A
SDN Cijantung 03 Pg.,Jl. R.A. Fadillah No. 1,A
SDN Cijantung 05 Pg.,Jl. Pertengahan No. 4,A
SDN Cijantung 07 Pg.,Jl. Gongseng Raya,A
SDN Cijantung 08 Pg.,Jl. Pertengahan,A
SDN Cikini 01 Pg.,Jl. Cidurian No. 2A,A
SDN Cikoko 01 Pg.,Jl. Cikoko Barat IV No. 19,A
SDN Cikoko 03 Pg.,Jl. Cikoko Raya,A
SDN Cikoko 04 Pg.,"Jl. B, Cikoko",A
SDN Cilandak Barat 01 Pg.,Jl. BDN I No. 72,A
SDN Cilandak Barat 03 Pg.,"Komp. MPR, Jl. Tanjung",A
SDN Cilandak Barat 04 Pg.,Jl. BNI 46 No. 35,A
SDN Cilandak Barat 06 Pg.,Jl. BDN I No. 72,A
SDN Cilandak Barat 07 Pg.,Jl. Caringin Timur No. 40,A
SDN Cilandak Barat 08 Pg.,Jl. Tmn Wijaya Kusuma V,A
SDN Cilandak Barat 14 Pg.,"Komp. MPR, Jl. Tanjung",A
SDN Cilandak Barat 15 Pg.,Jl. Pangeran Antasari No. 56,A
SDN Cilandak Barat 17 Pg.,Jl. R.A. Kartini Gg. Ampera,A
SDN Cilandak Barat 19 Pg.,Jl. Intan Ujung No. 19 RT002/RW02,A
SDN Cilandak Timur 01 Pg.,Jl. Cilandak KKO,A
SDN Cilandak Timur 02 Pt.,Jl. Cilandak KKO,A
SDN Cilandak Timur 03 Pg.,Jl. Memed Raya,A
SDN Cilandak Timur 07 Pg.,Jl. Jeruk Purut,A
SDN Cilangkap 04 Pg.,Jl. Raya Munjul,A
SDN Cililitan 01 Pg.,Jl. Kumbang No. 57,A
SDN Cililitan 02 Pg.,Jl. Raya Condet Gg. Anggrek,A
SDN Cililitan 04 Pg.,Jl. Gg. Anggrek,A
SDN Cilincing 01 Pg.,Jl. Bhakti IX No. 63,A
SDN Cilincing 02 Pg.,Jl. Bhakti VI,A
